district,hashtags,source
Marzahn-Hellersdorf,#low_income,income: rule-based
Marzahn-Hellersdorf,#high_safety,safety: rule-based
Marzahn-Hellersdorf,#average_unemployment,unemployment: rule-based
Marzahn-Hellersdorf,#average_density,density: rule-based
Marzahn-Hellersdorf,#low_diversity,diversity: rule-based
Marzahn-Hellersdorf,#affordable_and_safe,income_safety: rule-based
Marzahn-Hellersdorf,#moderately_urban,urbanity: rule-based
Marzahn-Hellersdorf,#moderate_mobility,mobility: rule-based
Marzahn-Hellersdorf,#sparse_venues,vibrancy: rule-based
Marzahn-Hellersdorf,#average_playground_density,playgrounds_density: rule-based
Marzahn-Hellersdorf,#low_green_share,green_share: rule-based
Mitte,#high_income,income: rule-based
Mitte,#low_safety,safety: rule-based
Mitte,#high_unemployment,unemployment: rule-based
Mitte,#high_density,density: rule-based
Mitte,#high_diversity,diversity: rule-based
Mitte,#affluent_but_risky,income_safety: rule-based
Mitte,#vibrant_and_diverse,urbanity: rule-based
Mitte,#well_connected_mobility,mobility: rule-based
Mitte,#vibrant_venues,vibrancy: rule-based
Mitte,#high_playground_density,playgrounds_density: rule-based
Mitte,#average_green_share,green_share: rule-based
Neukölln,#low_income,income: rule-based
Neukölln,#low_safety,safety: rule-based
Neukölln,#high_unemployment,unemployment: rule-based
Neukölln,#high_density,density: rule-based
Neukölln,#high_diversity,diversity: rule-based
Neukölln,#disadvantaged_and_risky,income_safety: rule-based
Neukölln,#vibrant_and_diverse,urbanity: rule-based
Neukölln,#well_connected_mobility,mobility: rule-based
Neukölln,#average_venues,vibrancy: rule-based
Neukölln,#high_playground_density,playgrounds_density: rule-based
Neukölln,#low_green_share,green_share: rule-based
Pankow,#high_income,income: rule-based
Pankow,#high_safety,safety: rule-based
Pankow,#low_unemployment,unemployment: rule-based
Pankow,#average_density,density: rule-based
Pankow,#low_diversity,diversity: rule-based
Pankow,#affluent_and_safe,income_safety: rule-based
Pankow,#moderately_urban,urbanity: rule-based
Pankow,#remote_mobility,mobility: rule-based
Pankow,#vibrant_venues,vibrancy: rule-based
Pankow,#average_playground_density,playgrounds_density: rule-based
Pankow,#average_green_share,green_share: rule-based
Reinickendorf,#average_income,income: rule-based
Reinickendorf,#average_safety,safety: rule-based
Reinickendorf,#average_unemployment,unemployment: rule-based
Reinickendorf,#low_density,density: rule-based
Reinickendorf,#average_diversity,diversity: rule-based
Reinickendorf,#mixed_income_safety,income_safety: rule-based
Reinickendorf,#moderately_urban,urbanity: rule-based
Reinickendorf,#moderate_mobility,mobility: rule-based
Reinickendorf,#sparse_venues,vibrancy: rule-based
Reinickendorf,#low_playground_density,playgrounds_density: rule-based
Reinickendorf,#high_green_share,green_share: rule-based
Spandau,#low_income,income: rule-based
Spandau,#average_safety,safety: rule-based
Spandau,#high_unemployment,unemployment: rule-based
Spandau,#low_density,density: rule-based
Spandau,#average_diversity,diversity: rule-based
Spandau,#mixed_income_safety,income_safety: rule-based
Spandau,#moderately_urban,urbanity: rule-based
Spandau,#remote_mobility,mobility: rule-based
Spandau,#sparse_venues,vibrancy: rule-based
Spandau,#low_playground_density,playgrounds_density: rule-based
Spandau,#high_green_share,green_share: rule-based
Steglitz-Zehlendorf,#average_income,income: rule-based
Steglitz-Zehlendorf,#high_safety,safety: rule-based
Steglitz-Zehlendorf,#low_unemployment,unemployment: rule-based
Steglitz-Zehlendorf,#low_density,density: rule-based
Steglitz-Zehlendorf,#low_diversity,diversity: rule-based
Steglitz-Zehlendorf,#mixed_income_safety,income_safety: rule-based
Steglitz-Zehlendorf,#quiet_and_homogeneous,urbanity: rule-based
Steglitz-Zehlendorf,#remote_mobility,mobility: rule-based
Steglitz-Zehlendorf,#average_venues,vibrancy: rule-based
Steglitz-Zehlendorf,#low_playground_density,playgrounds_density: rule-based
Steglitz-Zehlendorf,#high_green_share,green_share: rule-based
Tempelhof-Schöneberg,#average_income,income: rule-based
Tempelhof-Schöneberg,#average_safety,safety: rule-based
Tempelhof-Schöneberg,#average_unemployment,unemployment: rule-based
Tempelhof-Schöneberg,#high_density,density: rule-based
Tempelhof-Schöneberg,#average_diversity,diversity: rule-based
Tempelhof-Schöneberg,#mixed_income_safety,income_safety: rule-based
Tempelhof-Schöneberg,#moderately_urban,urbanity: rule-based
Tempelhof-Schöneberg,#well_connected_mobility,mobility: rule-based
Tempelhof-Schöneberg,#average_venues,vibrancy: rule-based
Tempelhof-Schöneberg,#high_playground_density,playgrounds_density: rule-based
Tempelhof-Schöneberg,#low_green_share,green_share: rule-based
Treptow-Köpenick,#average_income,income: rule-based
Treptow-Köpenick,#high_safety,safety: rule-based
Treptow-Köpenick,#low_unemployment,unemployment: rule-based
Treptow-Köpenick,#low_density,density: rule-based
Treptow-Köpenick,#low_diversity,diversity: rule-based
Treptow-Köpenick,#mixed_income_safety,income_safety: rule-based
Treptow-Köpenick,#quiet_and_homogeneous,urbanity: rule-based
Treptow-Köpenick,#remote_mobility,mobility: rule-based
Treptow-Köpenick,#average_venues,vibrancy: rule-based
Treptow-Köpenick,#low_playground_density,playgrounds_density: rule-based
Treptow-Köpenick,#high_green_share,green_share: rule-based
